Epoch,Train Loss,Train Acc,Val Acc,ECE,Adaptive ECE,OE
1,4.5932,0.0186,0.0364,0.0061,0.0073,0.0000
2,4.2754,0.0477,0.0738,0.0134,0.0166,0.0031
3,4.0796,0.0832,0.1366,0.0334,0.0266,0.0016
4,3.8827,0.1229,0.1760,0.0164,0.0172,0.0045
5,3.6593,0.1666,0.2236,0.0223,0.0320,0.0088
6,3.4776,0.2101,0.2868,0.0735,0.0735,0.0000
7,3.3023,0.2482,0.3812,0.1140,0.1140,0.0000
8,3.1547,0.2810,0.4020,0.0766,0.0785,0.0001
9,3.0020,0.3182,0.4630,0.0874,0.0874,0.0000
10,2.9938,0.3232,0.4492,0.0944,0.0944,0.0000
11,2.8760,0.3532,0.4358,0.0860,0.0860,0.0000
12,2.8770,0.3522,0.4416,0.0858,0.0846,0.0002
13,2.8044,0.3732,0.4710,0.0655,0.0657,0.0000
14,2.7869,0.3777,0.4556,0.0727,0.0726,0.0000
15,2.7611,0.3834,0.4714,0.0786,0.0784,0.0000
16,2.7369,0.3915,0.5034,0.1100,0.1100,0.0000
17,2.7167,0.3949,0.5180,0.0714,0.0714,0.0000
18,2.7271,0.3949,0.4804,0.0482,0.0470,0.0004
19,2.7154,0.3973,0.4994,0.0693,0.0693,0.0000
20,2.6650,0.4109,0.5154,0.0694,0.0691,0.0000
21,2.6624,0.4092,0.4646,0.0537,0.0535,0.0000
22,2.5746,0.4273,0.5460,0.0526,0.0527,0.0000
23,2.6044,0.4256,0.5414,0.1101,0.1101,0.0000
24,2.6313,0.4194,0.5350,0.1675,0.1675,0.0000
25,2.5822,0.4300,0.5246,0.1173,0.1173,0.0000
26,2.6131,0.4218,0.5518,0.0920,0.0920,0.0000
27,2.5590,0.4373,0.5276,0.1235,0.1234,0.0000
28,2.5333,0.4442,0.5370,0.0869,0.0869,0.0000
29,2.6267,0.4182,0.5334,0.0805,0.0805,0.0000
30,2.5470,0.4400,0.5748,0.1175,0.1175,0.0000
31,2.5453,0.4392,0.5396,0.0968,0.0962,0.0000
32,2.5275,0.4444,0.4676,0.0314,0.0344,0.0003
33,2.5158,0.4462,0.5552,0.0710,0.0710,0.0000
34,2.4774,0.4547,0.5476,0.0994,0.0994,0.0000
35,2.5158,0.4443,0.5230,0.1136,0.1136,0.0000
36,2.5711,0.4339,0.5598,0.1066,0.1066,0.0000
37,2.4909,0.4526,0.5750,0.0946,0.0946,0.0000
38,2.5181,0.4472,0.5792,0.1138,0.1136,0.0000
39,2.4469,0.4612,0.5880,0.0994,0.0994,0.0000
40,2.5181,0.4484,0.5738,0.0855,0.0853,0.0000
41,2.4734,0.4573,0.6006,0.1177,0.1177,0.0000
42,2.4932,0.4557,0.5630,0.0932,0.0931,0.0000
43,2.5234,0.4480,0.5864,0.0857,0.0857,0.0000
44,2.4432,0.4656,0.5796,0.1284,0.1284,0.0000
45,2.4798,0.4553,0.5774,0.0938,0.0936,0.0000
46,2.4898,0.4544,0.5640,0.0638,0.0635,0.0000
47,2.5335,0.4445,0.5534,0.0951,0.0951,0.0000
48,2.4672,0.4593,0.5514,0.1008,0.1008,0.0000
49,2.5162,0.4503,0.5288,0.0826,0.0822,0.0000
50,2.4915,0.4540,0.5218,0.0745,0.0732,0.0005
51,2.4543,0.4643,0.5998,0.0576,0.0576,0.0000
52,2.4770,0.4592,0.5456,0.0943,0.0943,0.0000
53,2.4861,0.4567,0.5822,0.0824,0.0822,0.0000
54,2.4822,0.4573,0.5772,0.1074,0.1074,0.0000
55,2.5097,0.4518,0.5774,0.1388,0.1385,0.0000
56,2.4680,0.4593,0.5856,0.0654,0.0654,0.0000
57,2.4150,0.4724,0.5626,0.0849,0.0847,0.0000
58,2.4901,0.4548,0.5918,0.1044,0.1042,0.0000
59,2.4377,0.4691,0.5756,0.1179,0.1179,0.0000
60,2.5044,0.4534,0.5898,0.1711,0.1710,0.0001
61,2.2592,0.5129,0.6742,0.0803,0.0803,0.0000
62,2.2395,0.5190,0.6624,0.1230,0.1229,0.0000
63,2.2737,0.5078,0.6304,0.1411,0.1410,0.0000
64,2.2656,0.5094,0.6638,0.1579,0.1579,0.0000
65,2.1965,0.5295,0.6602,0.1330,0.1329,0.0000
66,2.2744,0.5094,0.6524,0.1358,0.1358,0.0000
67,2.1864,0.5301,0.6462,0.1038,0.1037,0.0000
68,2.2364,0.5216,0.6540,0.1321,0.1320,0.0000
69,2.2910,0.5040,0.6540,0.1150,0.1150,0.0000
70,2.2013,0.5301,0.6518,0.1222,0.1221,0.0000
71,2.2045,0.5261,0.6384,0.1229,0.1227,0.0000
72,2.2368,0.5200,0.6278,0.1547,0.1547,0.0000
73,2.2262,0.5209,0.6474,0.1253,0.1230,0.0011
74,2.2190,0.5191,0.6522,0.0759,0.0759,0.0000
75,2.2465,0.5163,0.6498,0.0989,0.0981,0.0000
76,2.2416,0.5176,0.6446,0.1347,0.1346,0.0000
77,2.2174,0.5196,0.6640,0.0955,0.0955,0.0000
78,2.1772,0.5327,0.6394,0.1274,0.1273,0.0000
79,2.1840,0.5337,0.6566,0.0467,0.0467,0.0001
80,2.2023,0.5225,0.6602,0.0793,0.0793,0.0000
81,2.2198,0.5241,0.6498,0.1062,0.1061,0.0000
82,2.2222,0.5221,0.6704,0.1315,0.1315,0.0000
83,2.1746,0.5341,0.6330,0.1083,0.1082,0.0000
84,2.2135,0.5254,0.6744,0.1042,0.1041,0.0000
85,2.1782,0.5293,0.6498,0.0815,0.0815,0.0000
86,2.2026,0.5252,0.6596,0.0963,0.0960,0.0000
87,2.1628,0.5375,0.6460,0.0898,0.0897,0.0000
88,2.1331,0.5420,0.6520,0.1007,0.0966,0.0004
89,2.1340,0.5435,0.6694,0.1001,0.0998,0.0001
90,2.1887,0.5293,0.6592,0.0811,0.0811,0.0000
91,2.1698,0.5324,0.6556,0.1068,0.1068,0.0000
92,2.1907,0.5295,0.6364,0.0883,0.0879,0.0000
93,2.1308,0.5443,0.6556,0.0853,0.0843,0.0001
94,2.2065,0.5261,0.6518,0.0868,0.0867,0.0000
95,2.1382,0.5411,0.6492,0.0573,0.0561,0.0004
96,2.1305,0.5438,0.6464,0.0997,0.0996,0.0000
97,2.1881,0.5309,0.6600,0.1145,0.1145,0.0000
98,2.1814,0.5337,0.6400,0.1108,0.1107,0.0000
99,2.1581,0.5378,0.6596,0.1183,0.1183,0.0000
100,2.1518,0.5403,0.6488,0.0918,0.0917,0.0000
101,2.1563,0.5373,0.6684,0.1134,0.1134,0.0000
102,2.1565,0.5364,0.6404,0.1281,0.1280,0.0000
103,2.1910,0.5304,0.6776,0.1090,0.1090,0.0000
104,2.1535,0.5370,0.6674,0.0918,0.0917,0.0000
105,2.1791,0.5327,0.6766,0.1430,0.1430,0.0000
106,2.0633,0.5618,0.6432,0.0821,0.0814,0.0003
107,2.1951,0.5303,0.6736,0.0928,0.0927,0.0000
108,2.1393,0.5414,0.6506,0.1006,0.1006,0.0000
109,2.1917,0.5251,0.6458,0.0794,0.0792,0.0000
110,2.1676,0.5360,0.6764,0.1270,0.1268,0.0000
111,2.1076,0.5487,0.6484,0.0703,0.0703,0.0000
112,2.1139,0.5498,0.6670,0.0908,0.0908,0.0000
113,2.1151,0.5457,0.6584,0.0697,0.0696,0.0000
114,2.0709,0.5556,0.6500,0.1014,0.1010,0.0000
115,2.1409,0.5419,0.6552,0.0602,0.0611,0.0000
116,2.1016,0.5497,0.6536,0.1314,0.1314,0.0000
117,2.1135,0.5453,0.6404,0.0931,0.0931,0.0000
118,2.2102,0.5269,0.6588,0.0902,0.0902,0.0000
119,2.1582,0.5368,0.6222,0.0690,0.0690,0.0000
120,2.1265,0.5441,0.6600,0.1093,0.1091,0.0000
121,2.0053,0.5743,0.7180,0.1271,0.1271,0.0000
122,1.7950,0.6245,0.7256,0.1158,0.1153,0.0000
123,1.9316,0.5929,0.7092,0.1276,0.1276,0.0000
124,1.9085,0.5980,0.7140,0.0945,0.0943,0.0001
125,1.8964,0.6011,0.7134,0.1512,0.1512,0.0000
126,1.8529,0.6116,0.7188,0.0826,0.0824,0.0000
127,1.8398,0.6176,0.7012,0.0773,0.0773,0.0000
128,1.9163,0.5942,0.7262,0.0920,0.0909,0.0001
129,1.9256,0.5944,0.7122,0.1337,0.1337,0.0000
130,1.8891,0.6074,0.7188,0.0998,0.0998,0.0000
131,1.9291,0.5941,0.6986,0.0705,0.0739,0.0000
132,1.8992,0.6004,0.6840,0.0927,0.0927,0.0000
133,1.8929,0.5991,0.7096,0.0949,0.0941,0.0000
134,1.9940,0.5759,0.6924,0.1000,0.0992,0.0000
135,1.9423,0.5891,0.7042,0.1218,0.1218,0.0000
136,1.8843,0.6064,0.6896,0.0436,0.0428,0.0019
137,1.9015,0.6018,0.7048,0.1150,0.1150,0.0000
138,1.9305,0.5946,0.7014,0.1167,0.1167,0.0000
139,1.8808,0.6051,0.7072,0.0602,0.0576,0.0002
140,1.9187,0.5948,0.7128,0.0754,0.0754,0.0000
141,1.9012,0.6007,0.7078,0.0889,0.0879,0.0004
142,1.9032,0.5990,0.7130,0.0814,0.0821,0.0000
143,1.8945,0.6016,0.6938,0.0705,0.0701,0.0000
144,1.9266,0.5941,0.7266,0.0740,0.0729,0.0004
145,1.9083,0.5983,0.7066,0.0985,0.0982,0.0001
146,1.9068,0.5985,0.6920,0.1227,0.1227,0.0000
147,1.8897,0.6009,0.7140,0.0840,0.0837,0.0000
148,1.9082,0.5967,0.7002,0.1060,0.1059,0.0000
149,1.9646,0.5854,0.6944,0.0931,0.0923,0.0001
150,1.9333,0.5918,0.7226,0.0935,0.0935,0.0000
151,1.8339,0.6144,0.7000,0.0876,0.0876,0.0000
152,1.8743,0.6073,0.7140,0.0541,0.0532,0.0001
153,1.9003,0.6008,0.7034,0.1146,0.1142,0.0000
154,1.8993,0.6002,0.6994,0.0958,0.0958,0.0000
155,1.8451,0.6123,0.7038,0.0838,0.0837,0.0000
156,1.8517,0.6109,0.7052,0.0897,0.0892,0.0000
157,1.8985,0.5977,0.6950,0.1004,0.0999,0.0000
158,1.8735,0.6067,0.6944,0.0653,0.0640,0.0006
159,1.9431,0.5844,0.7088,0.1095,0.1095,0.0000
160,1.8398,0.6139,0.7084,0.0686,0.0686,0.0000
161,1.7493,0.6397,0.7576,0.0989,0.0986,0.0000
162,1.6829,0.6518,0.7594,0.1067,0.1067,0.0000
163,1.6392,0.6648,0.7636,0.0999,0.0999,0.0000
164,1.6537,0.6559,0.7478,0.1187,0.1182,0.0000
165,1.6638,0.6559,0.7668,0.0705,0.0676,0.0007
166,1.6803,0.6510,0.7536,0.1026,0.1020,0.0000
167,1.6550,0.6573,0.7500,0.0866,0.0842,0.0002
168,1.6573,0.6574,0.7388,0.1305,0.1297,0.0003
169,1.5963,0.6725,0.7472,0.0529,0.0519,0.0013
170,1.6392,0.6632,0.7482,0.0632,0.0636,0.0013
171,1.6302,0.6612,0.7408,0.1260,0.1256,0.0000
172,1.6811,0.6535,0.7452,0.0921,0.0921,0.0000
173,1.6339,0.6663,0.7476,0.0729,0.0724,0.0000
174,1.6584,0.6542,0.7420,0.0869,0.0853,0.0001
175,1.6103,0.6689,0.7268,0.0688,0.0678,0.0006
176,1.6225,0.6672,0.7618,0.0506,0.0451,0.0015
177,1.6670,0.6554,0.7204,0.0970,0.0965,0.0002
178,1.6536,0.6583,0.7452,0.0806,0.0792,0.0002
179,1.7207,0.6381,0.7446,0.0442,0.0432,0.0034
180,1.6218,0.6643,0.7500,0.0464,0.0428,0.0036
181,1.6752,0.6502,0.7408,0.0777,0.0771,0.0002
182,1.6179,0.6668,0.7306,0.1280,0.1270,0.0004
183,1.6526,0.6555,0.7412,0.0749,0.0733,0.0002
184,1.6987,0.6421,0.7404,0.1022,0.1022,0.0000
185,1.7046,0.6410,0.7410,0.0654,0.0634,0.0007
186,1.7248,0.6384,0.7434,0.1344,0.1339,0.0001
187,1.6083,0.6672,0.7362,0.0643,0.0648,0.0003
188,1.6964,0.6415,0.7184,0.0797,0.0788,0.0008
189,1.6789,0.6443,0.7248,0.0806,0.0794,0.0004
190,1.6402,0.6594,0.7282,0.0987,0.0987,0.0000
191,1.6566,0.6530,0.7272,0.1198,0.1195,0.0000
192,1.6792,0.6466,0.7352,0.0684,0.0668,0.0004
193,1.7010,0.6425,0.7212,0.0922,0.0915,0.0002
194,1.6743,0.6505,0.7404,0.0965,0.0953,0.0001
195,1.6983,0.6497,0.7372,0.0559,0.0550,0.0001
196,1.7000,0.6414,0.7380,0.0980,0.0980,0.0000
197,1.6920,0.6473,0.7396,0.1026,0.1026,0.0000
198,1.6448,0.6549,0.7332,0.0697,0.0692,0.0013
199,1.6836,0.6475,0.7388,0.0498,0.0453,0.0012
200,1.6569,0.6508,0.7282,0.0741,0.0698,0.0012
